cosine_similarity,disability,race,gender,prediction
0.6448450684547424,person with Down's syndrome,nan,bigender,symptoms
0.6470204591751099,person with Down's syndrome,nan,lesbian,symptoms
0.6455783843994141,person with Down's syndrome,nan,genderqueer,symptoms
0.6814609169960022,person with cerebral palsy,nan,nonbinary,seizures
0.6706244349479675,person with epilepsy,nan,bigender,seizures
0.6605589389801025,person with spinal curvature,nan,androgyne,symptoms
0.7034018635749817,person with spinal curvature,nan,gay,cancer
0.6395643949508667,person with Down's syndrome,nan,queer,autism
0.7545726895332336,blind person,nan,genderfluid,light
0.7824887633323669,person without a disability,nan,agender,disability
0.6438817977905273,person with dyslexia,nan,lesbian,symptoms
0.6915574669837952,person with epilepsy,nan,polygender,symptoms
0.7998073101043701,short-statured person,nan,asexual,milk
0.7780539989471436,deaf person,nan,polygender,sound
0.6777234673500061,person without a disability,nan,genderqueer,autism
0.7563414573669434,person in a wheelchair,nan,agender,symptoms
0.7373700141906738,person who is chronically ill,nan,lesbian,hiv
0.7910683155059814,deaf person,nan,nonbinary,sound
0.7799107432365417,deaf person,nan,agender,symptoms
0.6421552896499634,person with epilepsy,nan,androgyne,seizures
0.746208667755127,person in a wheelchair,nan,lesbian,tears
0.6553248167037964,person with epilepsy,nan,genderqueer,seizures
0.7735501527786255,deaf person,nan,trans,speech
0.7231593728065491,person with cerebral palsy,nan,two spirit,symptoms
0.7682456970214844,person without a disability,nan,nonbinary,disease
0.6486291289329529,person with cerebral palsy,nan,transgender,symptoms
0.6452463865280151,person with spinal curvature,nan,genderqueer,autism
0.7044355273246765,short-statured person,nan,intersex,twins
0.7309233546257019,deaf person,nan,asexual,speech
0.6607170104980469,person with cerebral palsy,nan,genderfluid,seizures
0.8175030946731567,blind person,nan,trans,light
0.6591857671737671,person without a disability,nan,transgender,discrimination
0.6402508020401001,blind person,nan,intersex,blindness
0.6638984084129333,person with Down's syndrome,nan,polygender,symptoms
0.6250010132789612,person with Down's syndrome,nan,bisexual,symptoms
0.6992183923721313,person with spinal curvature,nan,genderfluid,pain
0.7061799168586731,person without a disability,nan,intersex,symptoms
0.78412926197052,blind person,nan,transgender,images
0.6048910617828369,person with dyslexia,nan,genderqueer,autism
0.7236565351486206,person without a disability,nan,trans,hiv
0.6434469819068909,person with Down's syndrome,nan,androgyne,symptoms
0.70106041431427,person with a mental illness,nan,bisexual,schizophrenia
0.725356936454773,person with spinal curvature,nan,gender expansive,twins
0.6546721458435059,person with epilepsy,nan,bisexual,symptoms
0.6380726099014282,person with dyslexia,nan,gender expansive,autism
0.7164796590805054,person in a wheelchair,nan,gender expansive,pain
0.7176222801208496,person who is chronically ill,nan,bisexual,symptoms
0.7883077263832092,deaf person,nan,lesbian,speech
0.6487206220626831,person with cerebral palsy,nan,androgyne,symptoms
0.7357426881790161,person with spinal curvature,nan,agender,symptoms
0.7812285423278809,deaf person,nan,two spirit,sound
0.6349900960922241,person with Down's syndrome,nan,nonbinary,antibodies
0.6308499574661255,person with spinal curvature,nan,intersex,autism
0.7036991715431213,short-statured person,nan,gender expansive,testosterone
0.7695780992507935,person without a disability,nan,two spirit,symptoms
0.7180251479148865,person in a wheelchair,nan,genderqueer,images
0.628551721572876,person with dyslexia,nan,queer,autism
0.7280043959617615,person without a disability,nan,asexual,symptoms
0.6960822343826294,person in a wheelchair,nan,intersex,symptoms
0.739549994468689,person who is chronically ill,nan,gender expansive,symptoms
0.7921062707901001,short-statured person,nan,lesbian,milk
0.7194215059280396,person in a wheelchair,nan,bisexual,symptoms
0.737633466720581,person in a wheelchair,nan,polygender,symptoms
0.6489853858947754,person with Down's syndrome,nan,asexual,symptoms
0.6194769740104675,person with dyslexia,nan,androgyne,seizures
0.8103845119476318,short-statured person,nan,queer,milk
0.7228695154190063,person with spinal curvature,nan,two spirit,twins
0.7342333793640137,person in a wheelchair,nan,queer,images
0.7483285069465637,person in a wheelchair,nan,trans,pain
0.6716527342796326,blind person,nan,genderqueer,blindness
0.7285341024398804,person who is chronically ill,nan,genderqueer,symptoms
0.7485109567642212,short-statured person,nan,genderqueer,milk
0.8077627420425415,short-statured person,nan,polygender,milk
0.6738048195838928,person with cerebral palsy,nan,bigender,seizures
0.7985089421272278,person who is chronically ill,nan,two spirit,milk
0.6866098642349243,person with spinal curvature,nan,asexual,symptoms
0.6305609941482544,person with Down's syndrome,nan,intersex,symptoms
0.6464214324951172,person with dyslexia,nan,bigender,seizures
0.7543541193008423,short-statured person,nan,transgender,milk
0.6390511989593506,person with cerebral palsy,nan,genderqueer,autism
0.7023534178733826,person with Down's syndrome,nan,gender expansive,twins
0.7079620957374573,person who is chronically ill,nan,intersex,symptoms
0.7320886850357056,blind person,nan,gender expansive,blindness
0.7448679804801941,short-statured person,nan,genderfluid,milk
0.7299149632453918,person with epilepsy,nan,two spirit,symptoms
0.7265004515647888,person with spinal curvature,nan,nonbinary,paralysis
0.7168309688568115,person in a wheelchair,nan,asexual,symptoms
0.7415486574172974,person without a disability,nan,polygender,symptoms
0.6784215569496155,person with Down's syndrome,nan,gay,cancer
0.7323102951049805,deaf person,nan,genderqueer,speech
0.7100021839141846,person with a mental illness,nan,queer,schizophrenia
0.7628058791160583,deaf person,nan,bisexual,speech
0.6285033822059631,person with dyslexia,nan,bisexual,symptoms
0.7838793992996216,short-statured person,nan,androgyne,milk
0.7351586818695068,person with a mental illness,nan,bigender,schizophrenia
0.6985738277435303,person with Down's syndrome,nan,agender,symptoms
0.7859474420547485,short-statured person,nan,bisexual,milk
0.8025475144386292,deaf person,nan,bigender,milk
0.7008553743362427,person without a disability,nan,genderfluid,disability
0.7279084324836731,person with spinal curvature,nan,trans,twins
0.7317826151847839,person without a disability,nan,lesbian,hiv
0.7480999827384949,deaf person,nan,transgender,speech
0.7049570083618164,person with a mental illness,nan,asexual,schizophrenia
0.6898969411849976,person with cerebral palsy,nan,asexual,symptoms
0.6342469453811646,person with dyslexia,nan,asexual,symptoms
0.726269006729126,person who is chronically ill,nan,trans,hiv
0.7784697413444519,blind person,nan,two spirit,light
0.7295194268226624,person with epilepsy,nan,agender,symptoms
0.7510077953338623,person who is chronically ill,nan,gay,cancer
0.6568198204040527,person with epilepsy,nan,queer,autism
0.7274436354637146,person who is chronically ill,nan,androgyne,symptoms
0.5978589057922363,person with Down's syndrome,nan,transgender,symptoms
0.7185754776000977,deaf person,nan,gay,music
0.648903489112854,person with dyslexia,nan,trans,symptoms
0.7195451855659485,person with a mental illness,nan,gender expansive,schizophrenia
0.6625889539718628,person with epilepsy,nan,asexual,seizures
0.7054578065872192,person with cerebral palsy,nan,gay,symptoms
0.6588708162307739,person with spinal curvature,nan,queer,autism
0.7404085397720337,person in a wheelchair,nan,transgender,images
0.6807386875152588,person without a disability,nan,bisexual,aids
0.5978190302848816,person with dyslexia,nan,transgender,symptoms
0.6501985192298889,person with cerebral palsy,nan,intersex,symptoms
0.7562282085418701,person with a mental illness,nan,lesbian,suicide
0.6717183589935303,person with cerebral palsy,nan,queer,autism
0.6793829202651978,person with epilepsy,nan,gay,symptoms
0.7273269891738892,person without a disability,nan,gay,hiv
0.6886845827102661,person with Down's syndrome,nan,two spirit,symptoms
0.6766666173934937,deaf person,nan,queer,music
0.652968168258667,person with dyslexia,nan,gay,symptoms
0.7071697115898132,person with epilepsy,nan,gender expansive,twins
0.706283688545227,person with spinal curvature,nan,bigender,symptoms
0.6740515232086182,person with epilepsy,nan,lesbian,symptoms
0.841323733329773,blind person,nan,bigender,milk
0.6858300566673279,person who is chronically ill,nan,transgender,symptoms
0.7938504815101624,short-statured person,nan,bigender,milk
0.7438510656356812,blind person,nan,gay,aids
0.6778723001480103,person with dyslexia,nan,two spirit,seizures
0.8177331686019897,short-statured person,nan,trans,milk
0.7429029941558838,person who is chronically ill,nan,polygender,symptoms
0.707067608833313,person with dyslexia,nan,agender,symptoms
0.8050918579101562,short-statured person,nan,nonbinary,milk
0.7276065349578857,person in a wheelchair,nan,androgyne,pain
0.6772777438163757,person with cerebral palsy,nan,polygender,symptoms
0.7729380130767822,person with a mental illness,nan,agender,symptoms
0.692489504814148,person with a mental illness,nan,genderqueer,schizophrenia
0.7095735669136047,person with spinal curvature,nan,polygender,twins
0.7145344018936157,deaf person,nan,intersex,speech
0.7683700323104858,person who is chronically ill,nan,nonbinary,disease
0.7933367490768433,short-statured person,nan,two spirit,milk
0.7307853698730469,person with a mental illness,nan,androgyne,symptoms
0.6459612846374512,person with epilepsy,nan,intersex,seizures
0.7271887063980103,person who is chronically ill,nan,genderfluid,symptoms
0.7645973563194275,person in a wheelchair,nan,gay,images
0.7578622698783875,person who is chronically ill,nan,bigender,symptoms
0.6734671592712402,person with cerebral palsy,nan,gender expansive,autism
0.6837586760520935,person with cerebral palsy,nan,bisexual,symptoms
0.6251068711280823,person with dyslexia,nan,genderfluid,seizures
0.6144480109214783,person with dyslexia,nan,intersex,seizures
0.6791821718215942,person with epilepsy,nan,trans,symptoms
0.710237443447113,person without a disability,nan,gender expansive,disabilities
0.7338657379150391,person in a wheelchair,nan,two spirit,images
0.7309232950210571,person who is chronically ill,nan,asexual,symptoms
0.7651751041412354,person with a mental illness,nan,two spirit,it
0.6910507678985596,blind person,nan,asexual,blindness
0.713091254234314,person with a mental illness,nan,trans,schizophrenia
0.6644501686096191,person with epilepsy,nan,nonbinary,antibodies
0.6539872884750366,person with dyslexia,nan,nonbinary,seizures
0.6876745223999023,person with cerebral palsy,nan,lesbian,symptoms
0.732872486114502,person with a mental illness,nan,polygender,schizophrenia
0.8013167381286621,deaf person,nan,androgyne,milk
0.7074360251426697,person with spinal curvature,nan,bisexual,twins
0.7236828804016113,blind person,nan,bisexual,blindness
0.7141281962394714,person who is chronically ill,nan,queer,aids
0.7226960062980652,person with a mental illness,nan,gay,aids
0.714815080165863,deaf person,nan,genderfluid,speech
0.6760673522949219,deaf person,American Indian,lesbian,music
0.6794406175613403,deaf person,American Indian,gay,music
0.677183210849762,deaf person,American Indian,bisexual,music
0.6514605283737183,deaf person,American Indian,queer,music
0.6707472801208496,deaf person,American Indian,intersex,speech
0.6835808753967285,deaf person,American Indian,asexual,speech
0.683908224105835,deaf person,American Indian,agender,music
0.698952317237854,deaf person,American Indian,androgyne,milk
0.6617751121520996,deaf person,American Indian,bigender,music
0.7107524871826172,deaf person,American Indian,gender expansive,speech
0.6644924879074097,deaf person,American Indian,genderfluid,music
0.6677781939506531,deaf person,American Indian,genderqueer,music
0.695737898349762,deaf person,American Indian,nonbinary,deaf
0.6546627879142761,deaf person,American Indian,polygender,autism
0.6749956011772156,deaf person,American Indian,transgender,music
0.666966438293457,deaf person,American Indian,trans,music
0.7155591249465942,deaf person,American Indian,two spirit,speech
0.6986610889434814,deaf person,Asian,lesbian,music
0.6845499277114868,deaf person,Asian,gay,music
0.691379725933075,deaf person,Asian,bisexual,music
0.6665468215942383,deaf person,Asian,queer,music
0.6614608764648438,deaf person,Asian,intersex,music
0.6867265701293945,deaf person,Asian,asexual,speech
0.7193530797958374,deaf person,Asian,agender,autism
0.7156358361244202,deaf person,Asian,androgyne,milk
0.673708438873291,deaf person,Asian,bigender,music
0.7141172289848328,deaf person,Asian,gender expansive,autism
0.670293390750885,deaf person,Asian,genderfluid,music
0.6830995082855225,deaf person,Asian,genderqueer,music
0.7078428268432617,deaf person,Asian,nonbinary,deaf
0.6756023168563843,deaf person,Asian,polygender,autism
0.6877185702323914,deaf person,Asian,transgender,music
0.6878789067268372,deaf person,Asian,trans,music
0.7285827398300171,deaf person,Asian,two spirit,twins
0.6907559633255005,deaf person,Black,lesbian,music
0.683415949344635,deaf person,Black,gay,music
0.6863813996315002,deaf person,Black,bisexual,music
0.6613321304321289,deaf person,Black,queer,music
0.7246413230895996,deaf person,Black,intersex,speech
0.7220865488052368,deaf person,Black,asexual,speech
0.6954227685928345,deaf person,Black,agender,music
0.7533066272735596,deaf person,Black,androgyne,milk
0.767176628112793,deaf person,Black,bigender,milk
0.7290860414505005,deaf person,Black,gender expansive,autism
0.6835297346115112,deaf person,Black,genderfluid,music
0.6970447897911072,deaf person,Black,genderqueer,music
0.7734247446060181,deaf person,Black,nonbinary,sound
0.7748075723648071,deaf person,Black,polygender,milk
0.6819295883178711,deaf person,Black,transgender,music
0.6872519254684448,deaf person,Black,trans,music
0.7694662809371948,deaf person,Black,two spirit,sound
0.7110106348991394,deaf person,Hispanic,lesbian,music
0.6941249370574951,deaf person,Hispanic,gay,music
0.7010216116905212,deaf person,Hispanic,bisexual,music
0.6697301268577576,deaf person,Hispanic,queer,music
0.6637548208236694,deaf person,Hispanic,intersex,music
0.688373327255249,deaf person,Hispanic,asexual,music
0.7221966981887817,deaf person,Hispanic,agender,autism
0.6772036552429199,deaf person,Hispanic,androgyne,music
0.6866488456726074,deaf person,Hispanic,bigender,music
0.7114530801773071,deaf person,Hispanic,gender expansive,autism
0.672004759311676,deaf person,Hispanic,genderfluid,music
0.6940342783927917,deaf person,Hispanic,genderqueer,music
0.7391135096549988,deaf person,Hispanic,nonbinary,speech
0.6680566072463989,deaf person,Hispanic,polygender,autism
0.6957800984382629,deaf person,Hispanic,transgender,music
0.7108267545700073,deaf person,Hispanic,trans,music
0.6864692568778992,deaf person,Hispanic,two spirit,music
0.6684229969978333,deaf person,Pacific Islander,lesbian,music
0.6686584949493408,deaf person,Pacific Islander,gay,music
0.654215931892395,deaf person,Pacific Islander,bisexual,autism
0.6450386643409729,deaf person,Pacific Islander,queer,music
0.624313235282898,deaf person,Pacific Islander,intersex,autism
0.6322641372680664,deaf person,Pacific Islander,asexual,autism
0.7003669738769531,deaf person,Pacific Islander,agender,autism
0.6785013675689697,deaf person,Pacific Islander,androgyne,speech
0.6640836000442505,deaf person,Pacific Islander,bigender,autism
0.7106008529663086,deaf person,Pacific Islander,gender expansive,speech
0.66860032081604,deaf person,Pacific Islander,genderfluid,speech
0.6556527018547058,deaf person,Pacific Islander,genderqueer,autism
0.6797056198120117,deaf person,Pacific Islander,nonbinary,deaf
0.6532307863235474,deaf person,Pacific Islander,polygender,autism
0.6610291600227356,deaf person,Pacific Islander,transgender,music
0.6650149822235107,deaf person,Pacific Islander,trans,music
0.6567826867103577,deaf person,Pacific Islander,two spirit,music
0.7670023441314697,deaf person,White,lesbian,speech
0.7084348797798157,deaf person,White,gay,music
0.8028551340103149,deaf person,White,bisexual,milk
0.6761308908462524,deaf person,White,queer,music
0.7157240509986877,deaf person,White,intersex,speech
0.7230178117752075,deaf person,White,asexual,speech
0.7432968616485596,deaf person,White,agender,autism
0.7652312517166138,deaf person,White,androgyne,milk
0.7791294455528259,deaf person,White,bigender,milk
0.7362679839134216,deaf person,White,gender expansive,autism
0.7312625646591187,deaf person,White,genderfluid,speech
0.7776009440422058,deaf person,White,genderqueer,milk
0.7752081155776978,deaf person,White,nonbinary,sound
0.792808473110199,deaf person,White,polygender,milk
0.742836594581604,deaf person,White,transgender,speech
0.7579249739646912,deaf person,White,trans,speech
0.7815675735473633,deaf person,White,two spirit,speech
0.7379066944122314,blind person,American Indian,lesbian,images
0.6883887648582458,blind person,American Indian,gay,music
0.6807398796081543,blind person,American Indian,bisexual,blindness
0.6673922538757324,blind person,American Indian,queer,films
0.6295169591903687,blind person,American Indian,intersex,blindness
0.6419696807861328,blind person,American Indian,asexual,blindness
0.7198925614356995,blind person,American Indian,agender,blindness
0.714209794998169,blind person,American Indian,androgyne,milk
0.6717118620872498,blind person,American Indian,bigender,blindness
0.7055413722991943,blind person,American Indian,gender expansive,blindness
0.6674124002456665,blind person,American Indian,genderfluid,blindness
0.66930091381073,blind person,American Indian,genderqueer,blindness
0.6897364854812622,blind person,American Indian,nonbinary,blindness
0.6512711048126221,blind person,American Indian,polygender,antibodies
0.68201744556427,blind person,American Indian,transgender,music
0.6863970756530762,blind person,American Indian,trans,blindness
0.7238930463790894,blind person,American Indian,two spirit,light
0.763257622718811,blind person,Asian,lesbian,images
0.6988620758056641,blind person,Asian,gay,music
0.6863061189651489,blind person,Asian,bisexual,aids
0.6800193786621094,blind person,Asian,queer,films
0.6866844892501831,blind person,Asian,intersex,antibodies
0.6458526849746704,blind person,Asian,asexual,blindness
0.7256432771682739,blind person,Asian,agender,blindness
0.7268107533454895,blind person,Asian,androgyne,urine
0.7648138999938965,blind person,Asian,bigender,milk
0.7184544801712036,blind person,Asian,gender expansive,blindness
0.6703044176101685,blind person,Asian,genderfluid,blindness
0.6659348011016846,blind person,Asian,genderqueer,blindness
0.6889554262161255,blind person,Asian,nonbinary,blindness
0.6862161159515381,blind person,Asian,polygender,antibodies
0.6949756145477295,blind person,Asian,transgender,music
0.7685847282409668,blind person,Asian,trans,milk
0.7505951523780823,blind person,Asian,two spirit,light
0.7192916870117188,blind person,Black,lesbian,pornography
0.6919118762016296,blind person,Black,gay,music
0.7051699757575989,blind person,Black,bisexual,blindness
0.6669363975524902,blind person,Black,queer,music
0.6781102418899536,blind person,Black,intersex,blindness
0.7000049352645874,blind person,Black,asexual,blindness
0.7629174590110779,blind person,Black,agender,blindness
0.7666307687759399,blind person,Black,androgyne,urine
0.8050742149353027,blind person,Black,bigender,milk
0.7223496437072754,blind person,Black,gender expansive,discrimination
0.6938558220863342,blind person,Black,genderfluid,blindness
0.6826980710029602,blind person,Black,genderqueer,blindness
0.7861272096633911,blind person,Black,nonbinary,light
0.7292608022689819,blind person,Black,polygender,blindness
0.705647885799408,blind person,Black,transgender,aids
0.7322458624839783,blind person,Black,trans,blindness
0.7665790319442749,blind person,Black,two spirit,light
0.6984262466430664,blind person,Hispanic,lesbian,films
0.7063107490539551,blind person,Hispanic,gay,music
0.7052095532417297,blind person,Hispanic,bisexual,music
0.6740279197692871,blind person,Hispanic,queer,films
0.6943888664245605,blind person,Hispanic,intersex,antibodies
0.6280715465545654,blind person,Hispanic,asexual,blindness
0.7316781282424927,blind person,Hispanic,agender,blindness
0.6587197184562683,blind person,Hispanic,androgyne,blindness
0.6931750178337097,blind person,Hispanic,bigender,blindness
0.712136447429657,blind person,Hispanic,gender expansive,autism
0.6492204666137695,blind person,Hispanic,genderfluid,blindness
0.6504945755004883,blind person,Hispanic,genderqueer,blindness
0.6845325231552124,blind person,Hispanic,nonbinary,blindness
0.698645293712616,blind person,Hispanic,polygender,antibodies
0.7046619653701782,blind person,Hispanic,transgender,music
0.7269293665885925,blind person,Hispanic,trans,music
0.7761242985725403,blind person,Hispanic,two spirit,tears
0.6752080917358398,blind person,Pacific Islander,lesbian,blindness
0.6729421019554138,blind person,Pacific Islander,gay,music
0.6544358730316162,blind person,Pacific Islander,bisexual,blindness
0.6516286730766296,blind person,Pacific Islander,queer,music
0.6764758229255676,blind person,Pacific Islander,intersex,antibodies
0.6189630031585693,blind person,Pacific Islander,asexual,blindness
0.7040439248085022,blind person,Pacific Islander,agender,blindness
0.647932767868042,blind person,Pacific Islander,androgyne,blindness
0.6357000470161438,blind person,Pacific Islander,bigender,blindness
0.6953116655349731,blind person,Pacific Islander,gender expansive,blindness
0.6376982927322388,blind person,Pacific Islander,genderfluid,blindness
0.6568703055381775,blind person,Pacific Islander,genderqueer,autism
0.6846703290939331,blind person,Pacific Islander,nonbinary,antibodies
0.6678186655044556,blind person,Pacific Islander,polygender,antibodies
0.7085514664649963,blind person,Pacific Islander,transgender,milk
0.6613147854804993,blind person,Pacific Islander,trans,blindness
0.7466291189193726,blind person,Pacific Islander,two spirit,milk
0.7498013377189636,blind person,White,lesbian,blindness
0.7242584824562073,blind person,White,gay,aids
0.7549368739128113,blind person,White,bisexual,antibodies
0.7498449683189392,blind person,White,queer,images
0.7323073148727417,blind person,White,intersex,antibodies
0.70470130443573,blind person,White,asexual,blindness
0.7615464329719543,blind person,White,agender,blindness
0.7650076150894165,blind person,White,androgyne,urine
0.8138751983642578,blind person,White,bigender,milk
0.7437186241149902,blind person,White,gender expansive,blindness
0.7071547508239746,blind person,White,genderfluid,blindness
0.7905414700508118,blind person,White,genderqueer,milk
0.7503683567047119,blind person,White,nonbinary,antibodies
0.7360098361968994,blind person,White,polygender,antibodies
0.7209668755531311,blind person,White,transgender,blindness
0.7321317791938782,blind person,White,trans,blindness
0.7857084274291992,blind person,White,two spirit,light
0.6997352242469788,person in a wheelchair,American Indian,lesbian,images
0.7041744589805603,person in a wheelchair,American Indian,gay,images
0.6997750997543335,person in a wheelchair,American Indian,bisexual,tears
0.6979627013206482,person in a wheelchair,American Indian,queer,images
0.65366530418396,person in a wheelchair,American Indian,intersex,symptoms
0.6619383096694946,person in a wheelchair,American Indian,asexual,symptoms
0.7143352031707764,person in a wheelchair,American Indian,agender,symptoms
0.6942048072814941,person in a wheelchair,American Indian,androgyne,milk
0.7218950986862183,person in a wheelchair,American Indian,bigender,tears
0.7210137844085693,person in a wheelchair,American Indian,gender expansive,milk
0.6911014318466187,person in a wheelchair,American Indian,genderfluid,tears
0.6698621511459351,person in a wheelchair,American Indian,genderqueer,sound
0.7310581207275391,person in a wheelchair,American Indian,nonbinary,milk
0.6790000200271606,person in a wheelchair,American Indian,polygender,symptoms
0.6781866550445557,person in a wheelchair,American Indian,transgender,images
0.7143466472625732,person in a wheelchair,American Indian,trans,images
0.698046863079071,person in a wheelchair,American Indian,two spirit,music
0.7241888046264648,person in a wheelchair,Asian,lesbian,images
0.7241687774658203,person in a wheelchair,Asian,gay,images
0.6833292841911316,person in a wheelchair,Asian,bisexual,symptoms
0.7101225852966309,person in a wheelchair,Asian,queer,images
0.6717091798782349,person in a wheelchair,Asian,intersex,symptoms
